№	gramm	gloss
0	am piɕ	1SG хитрость	
1	jomas l-uw l'ul'ne mā n'ir-n at telawe pum-n at teli at telawe	хороший стрелять-NPST[1PL] l'ul'ne mā прут-LAT запах telawe трава-POSS.2SG запах teli запах telawe	
2	kiweriŋ jiw xos-i-t wɣər oxsar sulinti ɕowal	kiweriŋ jiw махать-NPST-3PL wɣər лиса sulinti чувал	
3	wɣər oxsar ul'a	wɣər лиса огонь	
4	) kiweriŋ jiw kiwerəl sat wor-ap tɣlamli	) kiweriŋ jiw kiwerəl садок мощь-PROP2 tɣlamli	
5	Jiw tal'ax-t sal' jiw oli (l'am)	Jiw вершина-PL sal' jiw oli (l'am)	
6	Jiw tal'ax-t xuri-ŋ pajp (pakw)	Jiw вершина-PL изображение-PROP1 pajp (pakw)	
